,,,,"Summed S/N, Column Normalized, Scaled to 100 per Protein",,,,,,,,,,,"Summed S/N, Column Normalized",,,,,,,,,,,
P02042,HBD,Hemoglobin subunit delta,76,9.30242,1.77777,30.1429,10.6765,4.66369,3.86207,3.66611,4.20692,6.72407,22.8865,2.09104,29990,5731.35,97177.3,34419.9,15035.2,12450.9,11819.1,13562.7,21677.7,73783.7,6741.29,
P68133,ACTA1,"Actin, alpha skeletal muscle",75,10.6764,7.4192,7.15723,7.13926,7.45181,11.8527,13.987,8.13094,7.24946,8.05544,10.8806,25441.8,17679.8,17055.6,17012.7,17757.5,28244.7,33330.7,19375.9,17275.3,19196,25928.3,
Q7Z406,MYH14,Myosin-14,74,9.64798,16.1965,7.34725,12.7617,13.0438,6.93471,10.4885,6.63591,5.14921,5.01083,6.78361,11133.3,18689.9,8478.35,14726.4,15051.9,8002.31,12103.2,7657.5,5941.92,5782.24,7827.94,
Q14204,DYNC1H1,Cytoplasmic dynein 1 heavy chain 1,72,8.78377,8.91609,7.96346,9.70021,9.62858,7.01516,11.997,8.83952,8.43751,7.82101,10.8976,11070.3,11237,10036.4,12225.2,12135,8841.25,15120,11140.5,10633.9,9856.88,13734.4,
P0DOX5,P0DOX5,Immunoglobulin gamma-1 heavy chain,72,5.68065,1.99016,10.9799,4.63486,1.92473,18.2974,3.29077,14.2425,21.9886,12.0573,4.91309,8710.92,3051.79,16837,7107.27,2951.45,28057.9,5046.19,21840,33718.2,18489.1,7533.92,
P00738,HP,Haptoglobin,70,4.41957,1.29298,30.2309,15.2849,4.09596,5.98492,2.32013,3.30915,18.2479,9.57107,5.24253,7399.02,2164.65,50611.1,25589.2,6857.25,10019.7,3884.25,5540.02,30549.7,16023.4,8776.79,
A0A3B3ISX9,TNXB,Tenascin-X,67,11.3231,7.30337,8.36939,10.6108,6.57291,8.26614,13.2484,13.3056,5.11697,8.23456,7.64875,13244.6,8542.71,9789.63,12411.4,7688.29,9668.86,15496.6,15563.4,5985.29,9631.92,8946.7,
Q71U36,TUBA1A,Tubulin alpha-1A chain,67,8.17953,4.83085,9.95073,7.84897,7.14881,4.94913,13.4259,14.2075,9.01765,9.57513,10.8658,13960,8244.8,16982.9,13395.8,12200.9,8446.68,22914,24248,15390.4,16341.9,18544.6,
Q9NZM1,MYOF,Myoferlin,65,10.5525,8.01861,9.83857,7.96854,9.18551,6.09166,10.0557,9.80076,8.24555,8.77902,11.4636,13045.3,9912.83,12162.7,9850.94,11355.4,7530.68,12431.1,12116,10193.4,10852.9,14171.6,
Q14980,NUMA1,Nuclear mitotic apparatus protein 1,64,9.72595,11.1613,7.1419,8.50406,9.56018,11.1298,9.54297,8.98098,8.03219,8.27046,7.95026,12949.5,14860.6,9509.01,11322.6,12728.8,14818.6,12705.9,11957.6,10694.4,11011.6,10585.3,
Q00610,CLTC,Clathrin heavy chain 1,64,8.34303,8.45415,9.79234,9.32909,9.95281,6.51394,11.0169,8.34012,8.62416,8.50746,11.1261,12687.3,12856.3,14891.3,14186.8,15135.3,9905.8,16753.4,12682.9,13114.8,12937.4,16919.5,
P08133,ANXA6,Annexin A6,64,11.9323,4.40687,8.26697,8.79902,7.20247,7.00803,13.7045,8.60496,9.00953,10.3361,10.7292,26657,9845,18468.5,19657.1,16090.4,15656,30616.1,19223.6,20127.4,23091,23969,
Q05707,COL14A1,Collagen alpha-1(XIV) chain,63,11.3954,3.93283,5.09234,6.01845,2.43536,13.22,11.3476,11.1375,13.1895,8.17562,14.0554,17426.5,6014.28,7787.47,9203.72,3724.29,20216.8,17353.3,17032,20170,12502.6,21494.3,
Q8WXH0-2,SYNE2,Isoform 2 of Nesprin-2,62,8.26115,9.34755,10.568,7.0892,7.6381,10.03,8.76187,13.3444,7.42016,10.0107,7.52882,7536.88,8528.03,9641.51,6467.67,6968.45,9150.65,7993.69,12174.5,6769.62,9133.01,6868.75,
Q15746,MYLK,"Myosin light chain kinase, smooth muscle",62,12.5815,6.6109,5.87923,6.64041,7.18722,11.4035,12.7989,9.95257,7.5264,7.13763,12.2817,19355,10170,9044.47,10215.5,11056.7,17542.8,19689.6,15310.8,11578.4,10980.4,18893.9,
P07900-2,HSP90AA1,Isoform 2 of Heat shock protein HSP 90-alpha,62,7.79641,8.2857,9.12675,7.73347,7.66019,8.60529,8.7556,11.775,10.4368,9.27722,10.5476,12894.9,13704.1,15095.2,12790.8,12669.6,14232.7,14481.3,19475.2,17261.9,15344.1,17445.2,
P02545,LMNA,Prelamin-A/C,61,9.35144,10.7109,8.91245,10.1623,10.113,10.7205,10.3029,8.93662,6.10304,7.22514,7.46174,19469.4,22299.8,18555.5,21157.6,21054.9,22319.7,21450.4,18605.8,12706.3,15042.5,15535.1,
O75369-8,FLNB,Isoform 8 of Filamin-B,60,9.60032,15.0789,8.08754,11.5616,12.0921,8.28873,9.15658,7.03688,6.07127,6.50042,6.52566,15807.2,24827.8,13316.3,19036.5,19909.9,13647.6,15076.5,11586.4,9996.5,10703.1,10744.7,
P11142,HSPA8,Heat shock cognate 71 kDa protein,59,8.24796,8.81983,9.83731,9.24784,9.08287,9.11292,8.28607,8.54209,9.71284,8.73328,10.377,13099.9,14008.2,15624.2,14688,14426,14473.7,13160.5,13567.1,15426.6,13870.7,16481.4,
P68871,HBB,Hemoglobin subunit beta,59,10.5689,1.17441,31.2172,8.59786,2.9873,2.30982,4.49502,4.62279,7.33164,24.0596,2.63545,15407.5,1712.07,45508.9,12534.1,4354.94,3367.28,6552.91,6739.17,10688.2,35074.5,3841.99,
P69905,HBA1,Hemoglobin subunit alpha,58,12.5109,1.39094,28.064,8.78326,3.59468,3.45927,4.19524,4.77292,6.73339,24.2248,2.27061,27322.8,3037.71,61289.5,19181.9,7850.48,7554.76,9162.08,10423.7,14705.2,52905,4958.84,
P46940,IQGAP1,Ras GTPase-activating-like protein IQGAP1,58,9.11485,10.042,8.35496,9.1732,10.4758,6.72917,10.5376,8.95581,8.6762,7.51848,10.422,11689.5,12878.5,10714.9,11764.3,13434.8,8629.92,13514,11485.5,11126.9,9642.18,13365.9,
P01009,SERPINA1,Alpha-1-antitrypsin,58,8.95588,0.986442,19.6933,11.0858,3.25099,3.16318,9.87934,5.95609,18.4535,11.1077,7.46772,16550.8,1822.98,36394,20487.1,6007.95,5845.69,18257.4,11007.1,34102.9,20527.4,13800.6,
P14625,HSP90B1,Endoplasmin,57,7.52338,6.04576,7.83661,6.20367,7.11911,10.9623,8.29384,10.4474,12.4682,12.2014,10.8983,11199.5,8999.89,11665.8,9234.96,10597.7,16318.8,12346.4,15552.3,18560.6,18163.3,16223.6,
E9PMS6,LMO7,LIM domain only protein 7,57,8.26604,20.7105,5.12284,15.4594,17.628,5.61666,10.8025,4.44657,4.17867,3.47676,4.29198,8142.93,20402.1,5046.55,15229.2,17365.4,5533.01,10641.6,4380.35,4116.43,3424.98,4228.06,
Q15149-3,PLEC,Isoform 3 of Plectin,56,9.13975,10.0869,7.42736,10.0556,10.1843,10.0975,9.66523,8.85613,6.38059,8.74704,9.35965,11891.2,13123.4,9663.31,13082.7,13250.2,13137.3,12574.9,11522.2,8301.41,11380.3,12177.3,
P14618-2,PKM,Isoform M1 of Pyruvate kinase PKM,56,8.24651,7.98904,9.60999,8.83574,9.46807,10.5383,8.15701,8.85297,8.70588,10.0497,9.54677,9672.85,9370.84,11272.2,10364,11105.7,12361.1,9567.86,10384.2,10211.7,11787.9,11198,
Q9P2E9,RRBP1,Ribosome-binding protein 1,55,6.10235,10.3345,4.84204,6.02576,7.38667,18.9968,5.86213,10.5365,10.2579,9.73568,9.91957,7917.81,13409,6282.55,7818.43,9584.21,24648.4,7606.12,13671.2,13309.6,12632.1,12870.7,
P07237,P4HB,Protein disulfide-isomerase,55,8.89552,10.0016,6.62225,7.4669,9.24573,11.61,7.33435,7.96476,10.4843,9.52173,10.8529,16661.6,18733.2,12403.6,13985.7,17317.5,21745.8,13737.4,14918.2,19637.3,17834.5,20327.8,
P42704,LRPPRC,"Leucine-rich PPR motif-containing protein, mitochondrial",54,8.90637,9.02023,8.85533,8.27085,9.02022,8.53236,9.94753,10.7362,7.86994,9.15161,9.68938,10094.1,10223.1,10036.2,9373.8,10223.1,9670.18,11274.1,12167.9,8919.42,10372,10981.5,
P02787,TF,Serotransferrin,54,11.8722,2.34825,11.2189,8.47637,2.93745,8.73353,7.59071,8.056,17.0336,16.4373,5.2956,19596.5,3876.07,18518.1,13991.3,4848.61,14415.7,12529.4,13297.4,28116.1,27131.8,8741.03,
P46939,UTRN,Utrophin,52,11.1804,12.2861,7.70776,11.2726,12.556,6.6169,11.5968,6.78582,6.13957,5.96181,7.89621,11693.1,12849.6,8061.23,11789.6,13131.8,6920.35,12128.6,7097.01,6421.13,6235.21,8258.33,
P35579,MYH9,Myosin-9,52,8.98079,10.3322,7.38608,10.9511,9.74603,9.16078,9.64971,7.09985,8.15654,7.87928,10.6576,8483.88,9760.54,6977.41,10345.1,9206.78,8653.91,9115.78,6707.01,7705.23,7443.31,10068,
P06576,ATP5F1B,"ATP synthase subunit beta, mitochondrial",52,9.90578,7.12073,10.8271,8.78413,11.5416,5.52661,11.1613,9.12614,8.42507,7.96682,9.61467,7961.52,5723.11,8702.03,7060.02,9276.24,4441.87,8970.65,7334.9,6771.43,6403.12,7727.55,
P68104,EEF1A1,Elongation factor 1-alpha 1,52,8.79728,9.91386,6.82701,8.53481,10.169,9.99829,8.18748,8.45012,10.2389,8.86538,10.0178,14620,16475.6,11345.6,14183.8,16899.7,16615.9,13606.6,14043,17015.7,14733.1,16648.4,
P01024,C3,Complement C3,51,11.1818,1.16693,15.2087,8.80838,2.23302,9.07787,6.34192,5.75936,17.1199,17.5134,5.58875,16119.7,1682.26,21924.9,12698.2,3219.13,13086.7,9142.53,8302.7,24680.1,25247.3,8056.75,
O43707,ACTN4,Alpha-actinin-4,50,11.0604,7.59158,7.90192,10.2737,9.57669,5.46276,12.7736,10.2969,7.23847,7.43335,10.3906,15440.5,10598,11031.2,14342.3,13369.2,7626.11,17832.2,14374.6,10105,10377.1,14505.5,
P00915,CA1,Carbonic anhydrase 1,49,11.0367,1.58105,30.8982,5.69177,2.60858,3.65113,3.24272,5.31182,7.03666,26.5519,2.38941,19126.9,2740.02,53547.6,9864.01,4520.75,6327.53,5619.74,9205.54,12194.7,46015.3,4140.93,
P53621-2,COPA,Isoform 2 of Coatomer subunit alpha,49,8.63959,9.92168,6.72666,8.02744,9.15408,8.45603,8.7706,10.3643,9.99535,9.01967,10.9246,9818.38,11275.4,7644.45,9122.71,10403.1,9609.79,9967.28,11778.4,11359.1,10250.3,12415.2,
Q13813,SPTAN1,"Spectrin alpha chain, non-erythrocytic 1",47,10.2329,9.99164,8.1041,12.5598,11.5715,5.68724,12.5811,6.98939,6.56651,6.62103,9.09488,11734.3,11457.6,9293.15,14402.6,13269.3,6521.69,14427,8014.89,7529.96,7592.48,10429.3,
Q9Y4G6,TLN2,Talin-2,46,11.4309,6.90531,9.55111,8.34406,7.86576,6.58709,12.2212,8.75643,8.5208,8.22631,11.591,9375.6,5663.7,7833.77,6843.76,6451.46,5402.7,10023.8,7181.98,6988.72,6747.18,9506.88,
Q01082,SPTBN1,"Spectrin beta chain, non-erythrocytic 1",46,9.53834,10.6199,9.04739,13.7706,14.3231,4.59975,11.2766,5.64493,6.40306,5.65861,9.11771,10507.3,11698.8,9966.51,15169.6,15778.2,5067.03,12422.2,6218.39,7053.55,6233.46,10044,
P27816,MAP4,Microtubule-associated protein 4,46,8.18922,13.8828,6.1843,11.292,11.0493,10.8132,8.69272,7.09564,9.36155,5.32767,8.11162,8012.81,13583.8,6051.08,11048.8,10811.2,10580.2,8505.46,6942.79,9159.89,5212.9,7936.88,
Q16531,DDB1,DNA damage-binding protein 1,46,9.30434,9.81181,8.40377,8.40711,9.05206,10.4258,8.03335,9.35783,8.88614,9.46588,8.85192,7861.34,8290.1,7100.44,7103.26,7648.19,8808.85,6787.46,7906.53,7507.99,7997.82,7479.09,
P55072,VCP,Transitional endoplasmic reticulum ATPase,45,8.50589,6.31331,11.2178,8.66625,9.40238,5.65099,10.5834,9.86907,9.66562,9.95784,10.1675,6407.22,4755.62,8449.98,6528.02,7082.52,4256.71,7972.18,7434.06,7280.81,7500.93,7658.82,
A0A2R8Y4T1,TNS1,Tensin-1,44,10.6879,9.37477,7.84356,10.3157,10.1912,5.666,15.1651,9.62105,5.83836,6.34892,8.94738,9105.92,7987.12,6682.56,8788.77,8682.72,4827.32,12920.4,8196.95,4974.17,5409.16,7623,
P05091,ALDH2,"Aldehyde dehydrogenase, mitochondrial",43,13.3882,11.249,7.71057,12.8476,12.5502,5.46185,11.0284,7.1549,6.20193,6.45539,5.95208,11787.6,9904.11,6788.75,11311.6,11049.8,4808.87,9709.9,6299.51,5460.47,5683.63,5240.49,
P0C0L4,C4A,Complement C4-A,43,11.607,1.08395,11.2639,8.90878,2.6675,11.8228,7.68855,10.5909,14.9605,12.7253,6.68083,14713.5,1374.06,14278.6,11293.1,3381.43,14987,9746.31,13425.4,18964.5,16131.1,8468.89,
P0DMV9,HSPA1B,Heat shock 70 kDa protein 1B,43,8.73469,9.85271,11.9241,9.11675,9.61771,7.11285,9.32026,9.07685,8.44047,8.23129,8.57235,9021.72,10176.5,12315.9,9416.33,9933.75,7346.58,9626.52,9375.11,8717.83,8501.77,8854.04,
Q13576,IQGAP2,Ras GTPase-activating-like protein IQGAP2,43,8.26767,8.4306,10.6395,9.53112,6.37327,6.66679,8.84612,10.0993,8.71104,10.6656,11.769,6629.09,6759.72,8530.83,7642.13,5110.14,5345.49,7092.89,8097.69,6984.59,8551.79,9436.48,
Q00341,HDLBP,Vigilin,43,8.19691,7.45164,6.34192,6.94398,7.81368,12.2907,7.78191,10.6458,10.7916,10.3232,11.4187,8653.05,7866.3,6694.83,7330.39,8248.48,12974.6,8214.94,11238.2,11392.1,10897.7,12054.1,
P51659,HSD17B4,Peroxisomal multifunctional enzyme type 2,43,11.535,14.7844,6.84469,9.0308,12.9373,5.14996,10.651,6.17213,7.93579,5.36841,9.59045,13442.1,17228.7,7976.32,10523.9,15076.2,6001.4,12412,7192.57,9247.81,6255.97,11176,
P10809,HSPD1,"60 kDa heat shock protein, mitochondrial",43,8.4304,7.8931,9.30316,7.89909,8.50074,9.17939,9.78308,11.1338,9.02745,8.91705,9.93271,9966.11,9330.93,10997.9,9338.03,10049.3,10851.5,11565.2,13162,10671.9,10541.4,11742.1,
P13797,PLS3,Plastin-3,42,11.123,6.74256,6.55054,8.84444,8.74771,4.82371,13.4274,6.94484,10.5524,7.80386,14.4396,15500.6,9396.19,9128.61,12325.3,12190.5,6722.15,18712,9678.09,14705.5,10875.2,20122.5,
P62258,YWHAE,14-3-3 protein epsilon,42,9.28845,7.15965,9.88025,9.25165,9.64493,5.66866,11.7682,9.91394,8.83198,9.59719,8.9951,9096.51,7011.7,9676.08,9060.47,9445.62,5551.52,11525,9709.08,8649.47,9398.87,8809.22,
Q14315,FLNC,Filamin-C,42,12.0353,6.61335,7.42307,6.29711,6.08816,14.2637,12.6201,12.3144,6.05955,7.54697,8.7382,19115.8,10504.1,11790.1,10001.8,9669.88,22655.2,20044.7,19559.2,9624.44,11986.9,13879,
P04114,APOB,Apolipoprotein B-100,42,12.3367,1.62919,17.471,8.58988,1.84411,4.61926,5.68899,5.83741,21.9086,16.7431,3.33171,11495,1518.03,16279,8003.82,1718.29,4304.1,5300.85,5439.14,20413.9,15600.8,3104.4,
Q9Y3Z3,SAMHD1,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1,41,8.10229,7.34989,11.7106,8.04709,8.58098,7.13586,9.95095,9.38218,10.4712,9.77457,9.49431,5778.17,5241.59,8351.47,5738.8,6119.54,5088.96,7096.54,6690.93,7467.59,6970.76,6770.89,
Q14789-2,GOLGB1,Isoform 2 of Golgin subfamily B member 1,41,8.1007,14.2671,6.6991,7.29034,8.73223,14.3849,6.78314,8.15923,8.6034,7.70397,9.27585,5815.44,10242.3,4809.25,5233.69,6268.82,10326.9,4869.58,5857.46,6176.33,5530.64,6659.08,
Q5T4S7-2,UBR4,Isoform 2 of E3 ubiquitin-protein ligase UBR4,41,8.70832,8.24639,9.74834,8.70616,8.2514,8.43363,8.9984,9.90996,8.97966,10.5685,9.4492,4908.34,4647.98,5494.54,4907.12,4650.81,4753.52,5071.84,5585.63,5061.28,5956.83,5325.93,
P25705,ATP5F1A,"ATP synthase subunit alpha, mitochondrial",41,9.35815,8.14636,10.3766,9.67878,10.2418,7.14221,11.1681,8.88343,8.26751,7.44261,9.29452,9859.09,8582.43,10932,10196.9,10790,7524.53,11765.9,9358.96,8710.07,7841.01,9792.06,
P08603,CFH,Complement factor H,41,9.09021,2.34656,13.204,8.89019,3.22426,10.8348,6.36959,6.4531,17.7849,15.3224,6.48004,10190.8,2630.67,14802.7,9966.6,3614.65,12146.6,7140.8,7234.43,19938.2,17177.6,7264.63,
P19338,NCL,Nucleolin,40,5.78407,11.5302,7.32242,11.4108,13.2367,12.2222,5.69471,11.1947,9.29477,6.02629,6.28307,6242.77,12444.6,7903.12,12315.8,14286.4,13191.5,6146.32,12082.5,10031.9,6504.2,6781.35,
P63010-2,AP2B1,Isoform 2 of AP-2 complex subunit beta,40,9.26039,8.15765,8.86306,9.137,9.21245,6.65264,11.1848,8.34288,9.3244,8.64529,11.2194,7275.08,6408.76,6962.94,7178.15,7237.43,5226.4,8786.96,6554.28,7325.37,6791.86,8814.12,
P35749,MYH11,Myosin-11,40,11.7606,3.96329,8.81912,4.78364,5.36628,14.997,14.0469,12.5556,6.61957,8.35964,8.7284,14090.2,4748.37,10566.1,5731.22,6429.28,17967.7,16829.4,15042.7,7930.83,10015.6,10457.4,
P55786,NPEPPS,Puromycin-sensitive aminopeptidase,40,10.1653,6.54833,9.47147,8.21076,8.99932,6.6934,10.316,9.80211,9.9983,9.51747,10.2775,8857.87,5706.09,8253.25,7154.7,7841.83,5832.5,8989.2,8541.37,8712.32,8293.34,8955.58,
Q6S8J3,POTEE,POTE ankyrin domain family member E,40,10.6008,8.43963,7.24431,8.193,9.11855,8.78504,12.7959,9.14399,8.10703,7.69745,9.87428,10614,8450.15,7253.34,8203.22,9129.92,8795.99,12811.9,9155.39,8117.14,7707.05,9886.59,
O75643,SNRNP200,U5 small nuclear ribonucleoprotein 200 kDa helicase,39,8.86393,9.08924,8.2093,8.69271,8.88298,9.34436,8.7091,10.3949,9.38554,8.97151,9.45639,7950.58,8152.67,7363.4,7797,7967.67,8381.5,7811.7,9323.83,8418.43,8047.07,8481.99,
Q6P2Q9,PRPF8,Pre-mRNA-processing-splicing factor 8,39,8.00135,10.3683,7.69975,8.80183,9.08637,10.2319,8.6351,10.4157,8.79507,8.81485,9.14983,5476.48,7096.5,5270.05,6024.36,6219.12,7003.19,5910.25,7128.95,6019.74,6033.28,6262.55,
P05023-4,ATP1A1,Isoform 4 of Sodium/potassium-transporting ATPase subunit alpha-1,39,8.40117,11.6989,8.19939,9.51015,11.2415,10.1981,8.7602,9.57818,6.81,7.79194,7.81048,5699.21,7936.35,5562.33,6451.53,7626.05,6918.22,5942.78,6497.69,4619.8,5285.92,5298.5,
P38646,HSPA9,"Stress-70 protein, mitochondrial",39,7.16648,13.3741,8.0784,11.1281,11.4198,9.64262,7.29501,7.49489,7.61483,7.5896,9.19618,6236.86,11639.3,7030.49,9684.57,9938.44,8391.81,6348.72,6522.67,6627.05,6605.1,8003.27,
P49748-3,ACADVL,"Isoform 3 of Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",39,9.06404,15.1738,7.88934,7.99309,13.4558,5.91022,7.71656,10.3656,6.58124,6.95318,8.89708,7873.82,13181.3,6853.37,6943.5,11688.9,5134.13,6703.28,9004.5,5717.04,6040.14,7728.78,
O43491,EPB41L2,Band 4.1-like protein 2,39,11.7409,8.63451,7.15845,11.8485,11.3807,7.07385,12.1529,5.65299,7.52755,6.61555,10.2142,11149.5,8199.6,6797.88,11251.7,10807.4,6717.55,11540.8,5368.26,7148.39,6282.34,9699.7,
Q13228-4,SELENBP1,Isoform 4 of Methanethiol oxidase,39,11.3604,10.6908,10.5193,9.24211,10.1935,4.26823,13.3357,7.42436,8.52954,7.62568,6.81029,10986.9,10339.3,10173.5,8938.24,9858.36,4127.89,12897.2,7180.25,8249.09,7374.95,6586.37,
J3KN01,AFDN,Afadin,38,8.17357,14.6062,6.57872,12.0401,14.0898,6.39168,11.3445,7.93648,6.05423,5.20647,7.57822,4666.74,8339.47,3756.15,6874.34,8044.66,3649.36,6477.23,4531.37,3456.69,2972.66,4326.82,
Q709C8,VPS13C,Vacuolar protein sorting-associated protein 13C,38,10.101,7.68131,7.69893,8.14851,8.16798,10.5585,8.42519,10.2019,10.0367,9.0961,9.88383,8526.17,6483.7,6498.57,6878.06,6894.5,8912.31,7111.6,8611.28,8471.86,7677.9,8342.82,
Q86VP6,CAND1,Cullin-associated NEDD8-dissociated protein 1,38,9.76327,6.30862,10.2515,7.49183,7.62795,6.85285,10.7633,11.1796,9.19303,11.2173,9.35067,7938.71,5129.67,8335.74,6091.76,6202.44,5572.19,8751.83,9090.36,7475.04,9121.05,7603.22,
P27824-2,CANX,Isoform 2 of Calnexin,38,10.7995,11.9731,7.07056,9.39076,8.9558,11.585,7.33063,7.94633,8.241,7.94048,8.76689,9599.76,10643,6285.09,8347.53,7960.89,10298,6516.26,7063.57,7325.5,7058.37,7792.97,
Q00839,HNRNPU,Heterogeneous nuclear ribonucleoprotein U,38,8.96591,9.77231,8.23318,8.89515,10.2879,8.55656,8.92299,9.54221,9.51602,8.46136,8.84637,8212.43,8951.06,7541.27,8147.62,9423.36,7837.48,8173.12,8740.3,8716.31,7750.28,8102.94,
P60174-3,TPI1,Isoform 2 of Triosephosphate isomerase,38,9.95371,9.16648,8.16046,8.58395,9.43092,8.41873,8.56768,10.4156,8.79645,10.3458,8.16023,14777.2,13608.5,12115,12743.7,14001.1,12498.4,12719.5,15463,13059.2,15359.3,12114.6,
P04083,ANXA1,Annexin A1,37,12.5906,9.7951,9.49409,10.297,9.3494,8.59918,9.27336,9.01404,6.8305,7.17476,7.58202,11333.5,8817.15,8546.19,9268.9,8415.95,7740.63,8347.5,8114.07,6148.54,6458.43,6825.02,
Q99996-6,AKAP9,Isoform 6 of A-kinase anchor protein 9,37,7.87696,11.8783,9.73691,7.15628,8.16671,12.6011,7.53495,10.292,8.09237,8.64867,8.01581,4567.77,6888.09,5646.33,4149.85,4735.79,7307.25,4369.44,5968.2,4692.68,5015.27,4648.28,
O43795,MYO1B,Unconventional myosin-Ib,37,11.4604,12.3238,5.41862,11.4744,14.4751,5.21677,12.5294,4.84326,6.55591,4.86559,10.8368,9986.38,10738.8,4721.7,9998.58,12613.4,4545.81,10917.9,4220.34,5712.71,4239.79,9443.04,
P02774-3,GC,Isoform 3 of Vitamin D-binding protein,37,11.8433,0.898431,17.1088,7.87031,3.17843,6.21108,7.26406,8.00983,16.9692,13.576,7.07057,13539.7,1027.12,19559.4,8997.63,3633.7,7100.74,8304.55,9157.15,19399.9,15520.6,8083.34,
Q05682,CALD1,Caldesmon,37,12.4857,5.02749,6.96121,5.8698,4.83007,19.5891,10.3852,11.122,7.0389,6.79335,9.8972,14538.6,5854.12,8105.78,6834.92,5624.24,22810,12092.8,12950.6,8196.25,7910.32,11524.5,
Q9C0C2,TNKS1BP1,182 kDa tankyrase-1-binding protein,36,7.67725,13.9238,6.9647,10.6074,12.9261,12.8038,7.84606,6.45867,7.52518,5.82156,7.44547,6097.22,11058.2,5531.32,8424.35,10265.9,10168.7,6231.29,5129.44,5976.45,4623.45,5913.14,
Q86UP2,KTN1,Kinectin,36,9.54538,12.7562,6.73362,9.02941,10.8436,11.5533,8.29166,7.53123,7.63157,7.7268,8.35715,9396.07,12556.7,6628.29,8888.17,10674,11372.6,8161.96,7413.42,7512.19,7605.94,8226.42,
P35241-5,RDX,Isoform 5 of Radixin,36,8.25933,11.5506,7.22925,13.4152,14.9045,6.6639,10.6976,5.82249,7.37169,5.97413,8.11139,9957.18,13925,8715.35,16172.9,17968.4,8033.79,12896.6,7019.4,8887.06,7202.21,9778.83,
P11532,DMD,Dystrophin,36,13.566,3.7982,7.20612,4.47483,3.99297,12.0029,14.1223,14.0534,7.11012,8.48433,11.1888,6532.1,1828.85,3469.78,2154.65,1922.64,5779.45,6799.98,6766.78,3423.56,4085.25,5387.48,
P11277-2,SPTB,"Isoform 2 of Spectrin beta chain, erythrocytic",36,9.03359,1.33555,33.7639,9.01352,3.09619,2.881,3.36618,5.70651,5.97446,23.5136,2.3155,9365,1384.55,35002.6,9344.19,3209.78,2986.69,3489.68,5915.86,6193.65,24376.2,2400.45,
